round | plaintext1 | plaintext2 | round key
51|E49ED08CF11EFBD4|2FEBF83651632D93|21609078E6185999
52|453590F9BC1776B4|E49ED08CF11EFBD4|70B5AAED2B3660D4
53|C4DCAB40DE0E1704|453590F9BC1776B4|3494199ACF6B9241
54|8F6AB72AF8EB8710|C4DCAB40DE0E1704|5184CA5030D0A9B7
55|FABB98487E7AE231|8F6AB72AF8EB8710|0958C5F3A25DE976
56|54BE02BF4B99A844|FABB98487E7AE231|802AD4A43279A7F1
57|1A69293C1C783D70|54BE02BF4B99A844|1A2ABEC3DD443E50
58|BC72D8C6F869A22D|1A69293C1C783D70|A1686E91FA208FA9
59|83C1C56ECB5DCA53|BC72D8C6F869A22D|18A30FC156017B8D
60|A8805C490054DA5D|83C1C56ECB5DCA53|1A749BFDC1C041BD
61|C7207E6F8B29B271|A8805C490054DA5D|E6E0C22541AF05FC
62|2C96C4552811D5A7|C7207E6F8B29B271|98D70D2904F1A6FE
63|2FFAD85903608C42|2C96C4552811D5A7|4A85B74A380FCBA3
64|E44E9F9B1ED5D827|2FFAD85903608C42|2DE32AA83BC63C8C
65|7C9C5CBBD1A2E740|E44E9F9B1ED5D827|8AC1E198BC1D2BD9
66|AF3CE836B95F0591|7C9C5CBBD1A2E740|211BBC13434400B7
67|C45DD742DB5326AC|AF3CE836B95F0591|185A3B0ABD89D689
68|99EB976E1C76499F|C45DD742DB5326AC|2F3320D2DA43DAFD
69|33D98E8C4D2A01F2|99EB976E1C76499F|B3BD2A6AD7E89239
70|F0D0B3DF8AAB1594|33D98E8C4D2A01F2|E7DF1288A87559E3
71|2DB3614F0C0FB7D5|F0D0B3DF8AAB1594|1D8967376A9DE054
72|2DBBAE08B0D813C3|2DB3614F0C0FB7D5|78C6DAE7025A9C2B
